	220823_01_WF_RNA_GV_totalRNA_WT_W5_rep1	220823_02_WF_RNA_GV_totalRNA_WT_W5_rep2	220823_03_WF_RNA_GV_totalRNA_WT_W5_rep3	220823_04_WF_RNA_GV_totalRNA_Mll3KO_W5_rep1	220823_05_WF_RNA_GV_totalRNA_Mll3KO_W5_rep2	220823_06_WF_RNA_GV_totalRNA_Mll3KO_W5_rep3
ENSMUSG00000036912.17	1	0	1	0	0	1
ENSMUSG00000036913.15	14	12	22	15	10	8
ENSMUSG00000036915.17	0	0	0	0	2	0
ENSMUSG00000036918.15	118	87	185	148	121	140
ENSMUSG00000036921.2	0	0	0	0	0	0
ENSMUSG00000036923.12	7	3	4	2	6	4
ENSMUSG00000036924.3	0	0	0	0	0	0
ENSMUSG00000036925.8	0	0	0	0	0	0
ENSMUSG00000036928.14	84	47	104	98	104	94
ENSMUSG00000036931.15	21	17	24	37	38	28
ENSMUSG00000036934.9	1945	1632	3659	1631	1961	2521
ENSMUSG00000036938.17	2	7	4	2	6	3
ENSMUSG00000036940.15	724	640	1300	828	856	921
ENSMUSG00000036941.2	19	4	30	5	12	7
ENSMUSG00000036943.9	783	779	1484	598	690	784
ENSMUSG00000036944.6	4	7	14	6	5	8
ENSMUSG00000036948.17	146	111	200	155	135	151
ENSMUSG00000036949.16	3	2	3	0	0	0
ENSMUSG00000036951.2	0	0	0	0	0	0
ENSMUSG00000036955.16	591	490	983	671	634	709
ENSMUSG00000036957.8	1	0	0	2	1	1
ENSMUSG00000036958.5	0	0	0	0	0	0
ENSMUSG00000036960.10	2	0	0	1	6	1
ENSMUSG00000036961.4	1	0	1	0	0	2
ENSMUSG00000036962.12	39	20	34	28	27	33
ENSMUSG00000036964.14	4	1	5	2	8	7
ENSMUSG00000036966.15	706	586	1175	786	744	862
ENSMUSG00000036968.15	1590	1425	3132	1648	1627	1783
ENSMUSG00000036972.14	0	0	0	0	0	0
ENSMUSG00000036975.5	3	0	2	3	2	2
ENSMUSG00000036977.8	230	141	255	317	287	305
ENSMUSG00000036980.13	350	213	432	324	312	319
ENSMUSG00000036983.7	290	190	356	242	257	263
ENSMUSG00000036986.16	87	47	102	66	73	86
ENSMUSG00000036989.16	194	122	237	203	161	253
ENSMUSG00000036990.13	3200	2376	4910	3686	3811	4309
ENSMUSG00000036992.10	333	225	389	353	299	320
ENSMUSG00000036995.7	12	16	31	30	17	33
ENSMUSG00000037001.10	31	18	46	62	37	51
ENSMUSG00000037003.16	550	433	810	621	566	707
ENSMUSG00000037007.17	116	68	142	67	76	81
ENSMUSG00000037012.18	4	11	25	9	13	6
ENSMUSG00000037013.15	1253	1086	2194	1360	1354	1652
ENSMUSG00000037014.4	0	0	0	0	0	0
ENSMUSG00000037016.11	5	2	2	7	11	12
ENSMUSG00000037017.15	682	565	1107	656	622	730
ENSMUSG00000037020.16	282	221	418	319	246	264
ENSMUSG00000037022.3	43	35	103	61	46	48
ENSMUSG00000037025.11	0	0	0	0	0	0
ENSMUSG00000037028.7	0	0	0	0	1	3
ENSMUSG00000037029.8	79	24	69	68	89	85
ENSMUSG00000037031.10	9	2	7	1	8	3
ENSMUSG00000037032.16	230	204	437	273	231	204
ENSMUSG00000037033.9	10	9	22	7	8	10
ENSMUSG00000037034.16	0	0	0	0	0	0
ENSMUSG00000037035.5	127	20	69	43	65	237
ENSMUSG00000037049.9	532	341	592	663	579	526
ENSMUSG00000037053.6	0	3	2	1	0	0
ENSMUSG00000037058.14	2173	1890	4335	1914	2135	2692
ENSMUSG00000037060.3	1	0	1	1	4	3
ENSMUSG00000037062.13	365	256	516	362	418	428
ENSMUSG00000037064.5	0	0	0	0	0	0
ENSMUSG00000037070.10	143	101	244	147	168	183
ENSMUSG00000037071.2	4	0	1	5	1	7
ENSMUSG00000037072.15	1101	707	1333	1183	1164	1404
ENSMUSG00000037075.7	514	319	629	533	571	654
ENSMUSG00000037085.8	182	119	215	167	161	161
ENSMUSG00000037089.11	150	103	155	188	225	216
ENSMUSG00000037095.8	0	0	0	0	0	0
ENSMUSG00000037096.6	24	17	35	32	49	31
ENSMUSG00000037098.17	283	256	628	335	287	331
ENSMUSG00000037101.16	0	0	0	0	0	0
ENSMUSG00000037103.8	93	66	117	114	77	108
ENSMUSG00000037104.8	184	107	240	193	140	181
ENSMUSG00000037106.8	39	58	157	2	0	1
ENSMUSG00000037108.13	198	147	317	229	241	248
ENSMUSG00000037110.20	232	200	378	202	208	193
ENSMUSG00000037111.9	9	2	10	6	12	7
ENSMUSG00000037112.16	207	135	305	152	140	152
ENSMUSG00000037119.4	480	300	614	544	609	612
ENSMUSG00000037124.6	0	0	0	0	0	0
ENSMUSG00000037126.16	3	4	6	13	4	10
ENSMUSG00000037129.7	0	0	0	0	0	3
ENSMUSG00000037130.4	0	0	0	0	0	0
ENSMUSG00000037134.17	47	23	67	44	48	51
ENSMUSG00000037138.17	292	196	399	206	193	202
ENSMUSG00000037139.15	21	15	55	19	16	15
ENSMUSG00000037140.6	0	2	9	2	5	3
ENSMUSG00000037143.17	15	15	19	17	17	15
ENSMUSG00000037145.14	0	0	0	0	0	0
ENSMUSG00000037148.8	989	937	1848	1046	1003	1071
ENSMUSG00000037149.10	346	276	572	330	339	391
ENSMUSG00000037151.8	18	5	13	22	21	18
ENSMUSG00000037152.11	60	45	147	71	81	87
ENSMUSG00000037157.8	1	0	0	0	0	0
ENSMUSG00000037159.11	4640	3208	5861	5073	4975	5127
ENSMUSG00000037161.14	9	4	2	4	15	20
ENSMUSG00000037166.5	2	0	2	0	2	1
ENSMUSG00000037169.15	14	6	9	6	19	14
ENSMUSG00000037171.6	0	0	0	0	0	0
ENSMUSG00000037172.14	2174	1697	3305	2226	2300	2496
ENSMUSG00000037174.18	369	236	530	284	287	344
ENSMUSG00000037185.9	14	9	27	38	33	28
ENSMUSG00000037188.7	3	1	4	4	2	0
ENSMUSG00000037190.12	115	87	191	164	116	114
ENSMUSG00000037196.6	87	39	77	51	64	59
ENSMUSG00000037197.11	2230	2504	5400	2462	2469	2736
ENSMUSG00000037202.6	0	2	0	0	0	1
ENSMUSG00000037204.7	349	204	527	488	376	419
ENSMUSG00000037206.15	10	6	9	4	11	5
ENSMUSG00000037210.16	3122	2673	5859	3435	3377	3570
ENSMUSG00000037211.12	593	341	607	684	714	724
ENSMUSG00000037214.12	816	603	1207	816	878	1007
ENSMUSG00000037216.5	566	443	688	666	632	674
ENSMUSG00000037221.13	52	46	72	112	53	99
ENSMUSG00000037224.15	19	23	46	43	45	43
ENSMUSG00000037225.13	1	0	0	1	0	1
ENSMUSG00000037234.17	503	349	809	402	482	492
ENSMUSG00000037235.13	746	468	823	1051	939	970
ENSMUSG00000037236.14	3501	2975	6939	3074	3626	4263
ENSMUSG00000037239.8	15	9	21	25	18	31
ENSMUSG00000037242.8	1776	1293	2680	1646	1622	1653
ENSMUSG00000037243.17	112	79	150	109	95	70
ENSMUSG00000037246.6	0	0	0	0	0	0
ENSMUSG00000037247.3	0	0	0	0	0	0
ENSMUSG00000037251.5	33	28	67	47	54	39
ENSMUSG00000037253.8	946	756	1537	1031	1131	1385
ENSMUSG00000037254.18	7	3	3	5	5	4
ENSMUSG00000037257.8	623	352	737	674	677	752
ENSMUSG00000037259.15	13	16	15	17	14	17
ENSMUSG00000037260.8	95	68	106	83	84	101
ENSMUSG00000037262.7	143	146	266	131	162	164
ENSMUSG00000037263.13	0	0	0	0	0	0
ENSMUSG00000037266.18	181	135	272	276	265	255
ENSMUSG00000037270.18	2079	1581	3250	1841	1939	2123
ENSMUSG00000037275.14	124	70	163	159	139	151
ENSMUSG00000037278.9	395	249	436	333	314	351
ENSMUSG00000037279.13	1	0	1	1	0	1
ENSMUSG00000037280.12	727	774	1645	704	623	611
ENSMUSG00000037286.15	454	326	646	514	580	617
ENSMUSG00000037287.15	28	13	11	14	18	23
ENSMUSG00000037295.7	98	133	223	123	105	107
ENSMUSG00000037296.7	138	92	201	130	174	144
ENSMUSG00000037300.19	110	87	140	105	89	116
ENSMUSG00000037306.13	79	53	151	71	70	64
ENSMUSG00000037307.11	2	0	0	0	0	0
ENSMUSG00000037313.16	5938	5810	11844	6112	6160	5865
ENSMUSG00000037316.9	1029	742	1538	1055	1065	1108
ENSMUSG00000037318.10	0	0	0	0	0	1
ENSMUSG00000037321.17	2	1	2	0	1	3
ENSMUSG00000037325.10	97	43	101	87	75	101
ENSMUSG00000037326.10	60	41	87	57	80	72
ENSMUSG00000037331.15	255	223	439	228	215	256
ENSMUSG00000037334.2	1	0	0	0	0	0
ENSMUSG00000037335.13	0	0	0	0	0	0
ENSMUSG00000037336.14	0	0	3	0	0	0
ENSMUSG00000037337.11	80	48	108	83	80	72
ENSMUSG00000037339.17	262	176	304	304	303	294
ENSMUSG00000037343.8	306	229	493	356	359	390
ENSMUSG00000037344.14	245	198	309	349	257	286
ENSMUSG00000037346.4	0	0	0	0	0	0
ENSMUSG00000037348.15	4	0	2	4	6	1
ENSMUSG00000037349.9	11	4	15	18	11	13
ENSMUSG00000037351.9	64	50	108	91	59	67
ENSMUSG00000037353.9	36	24	36	25	10	23
ENSMUSG00000037355.14	566	484	978	449	496	513
ENSMUSG00000037361.8	105	76	147	117	143	141
ENSMUSG00000037362.8	0	0	0	0	0	0
ENSMUSG00000037363.9	124	103	195	129	147	159
ENSMUSG00000037364.12	326	273	676	320	295	291
ENSMUSG00000037366.14	15	9	27	18	21	12
ENSMUSG00000037370.13	5	3	2	5	4	5
ENSMUSG00000037373.12	105	58	143	122	104	101
ENSMUSG00000037375.16	172	150	248	111	100	125
ENSMUSG00000037376.14	155	135	274	176	200	237
ENSMUSG00000037379.7	1	0	0	0	0	0
ENSMUSG00000037386.16	79	66	131	57	56	57
ENSMUSG00000037390.12	1	2	1	6	6	2
ENSMUSG00000037393.2	0	0	0	0	0	0
ENSMUSG00000037395.15	115	77	127	93	82	110
ENSMUSG00000037400.17	508	420	785	536	545	598
ENSMUSG00000037405.8	0	0	0	1	1	0
ENSMUSG00000037406.7	333	234	378	241	227	268
ENSMUSG00000037408.10	195	151	245	307	269	218
ENSMUSG00000037410.13	272	271	466	341	252	287
ENSMUSG00000037411.10	3	1	4	3	6	3
ENSMUSG00000037415.6	197	151	287	213	216	222
ENSMUSG00000037416.13	2338	1673	3301	2662	2927	3372
ENSMUSG00000037418.5	0	0	0	0	0	0
ENSMUSG00000037419.9	164	95	159	201	183	185
ENSMUSG00000037424.6	14	11	26	13	10	9
ENSMUSG00000037426.17	261	291	503	306	237	265
ENSMUSG00000037428.14	0	0	0	0	0	0
ENSMUSG00000037432.15	5	2	2	4	3	1
ENSMUSG00000037434.7	845	583	1120	877	982	1026
ENSMUSG00000037437.18	112	115	179	117	115	129
ENSMUSG00000037438.6	0	2	2	0	0	0
ENSMUSG00000037440.8	5	1	1	1	2	0
ENSMUSG00000037443.13	393	333	757	402	357	404
ENSMUSG00000037446.14	1	0	0	0	0	0
ENSMUSG00000037447.16	74	86	134	117	92	79
ENSMUSG00000037451.7	1	0	4	0	0	0
ENSMUSG00000037455.16	11	13	22	0	5	5
ENSMUSG00000037458.15	1940	1596	3182	1993	2287	2570
ENSMUSG00000037461.10	44	19	49	20	26	21
ENSMUSG00000037463.14	1	1	1	1	1	1
ENSMUSG00000037465.10	155	83	167	226	169	275
ENSMUSG00000037466.13	46	29	72	42	36	46
ENSMUSG00000037469.9	5	2	11	1	3	5
ENSMUSG00000037470.14	1165	887	1721	1199	1158	1165
ENSMUSG00000037474.13	1304	900	1691	1324	1326	1325
ENSMUSG00000037477.7	0	0	0	0	0	0
ENSMUSG00000037482.2	0	0	0	0	0	0
ENSMUSG00000037486.18	196	142	318	170	186	170
ENSMUSG00000037487.7	1528	1330	2661	1524	1546	1632
ENSMUSG00000037490.5	194	139	274	99	72	77
ENSMUSG00000037492.16	579	541	1010	546	582	671
ENSMUSG00000037493.6	2	0	0	0	0	0
ENSMUSG00000037499.9	6	0	0	8	8	8
ENSMUSG00000037503.12	342	264	515	301	268	354
ENSMUSG00000037509.20	64	36	49	106	72	52
ENSMUSG00000037514.17	466	432	927	424	456	492
ENSMUSG00000037519.17	4776	4266	8901	5525	5348	5471
ENSMUSG00000037523.13	266	178	373	285	284	250
ENSMUSG00000037525.5	19	10	39	16	18	10
ENSMUSG00000037526.7	914	793	1480	1008	1058	1102
ENSMUSG00000037529.13	0	0	0	0	0	0
ENSMUSG00000037531.8	253	219	345	249	236	296
ENSMUSG00000037533.19	1003	791	1590	1029	1086	1167
ENSMUSG00000037535.5	0	1	0	0	2	1
ENSMUSG00000037536.14	5517	5395	11219	6216	5876	6749
ENSMUSG00000037537.6	0	0	0	0	0	0
ENSMUSG00000037541.21	606	477	931	975	782	793
ENSMUSG00000037542.13	1	0	2	1	1	3
ENSMUSG00000037544.14	2328	2455	5238	2124	2183	2597
ENSMUSG00000037548.14	0	0	0	0	0	0
ENSMUSG00000037552.17	83	79	137	94	99	108
ENSMUSG00000037553.14	640	401	709	990	753	826
ENSMUSG00000037563.15	372	220	389	330	256	338
ENSMUSG00000037568.12	1	3	1	1	2	1
ENSMUSG00000037570.16	321	202	403	323	260	297
ENSMUSG00000037572.17	659	534	1243	597	634	666
ENSMUSG00000037573.5	319	166	394	365	338	365
ENSMUSG00000037577.12	0	1	0	0	0	0
ENSMUSG00000037578.4	0	1	0	0	0	0
ENSMUSG00000037579.7	388	213	369	486	465	517
ENSMUSG00000037580.10	392	375	675	272	233	293
ENSMUSG00000037583.2	3	1	1	1	3	4
ENSMUSG00000037593.11	1	0	0	2	1	1
ENSMUSG00000037594.11	60	64	89	89	83	47
ENSMUSG00000037600.16	34	21	43	45	46	28
ENSMUSG00000037601.11	12	11	10	13	11	11
ENSMUSG00000037603.6	0	0	0	0	0	0
ENSMUSG00000037605.16	39	31	60	27	13	46
ENSMUSG00000037606.18	99	51	76	166	109	109
ENSMUSG00000037608.16	1015	868	2211	1018	1204	1383
ENSMUSG00000037610.15	73	28	64	112	120	154
ENSMUSG00000037613.16	0	0	0	6	3	3
ENSMUSG00000037617.12	1216	977	2094	1408	1314	1451
ENSMUSG00000037621.8	2	2	3	1	2	2
ENSMUSG00000037622.14	2207	1898	3391	2281	1912	2061
ENSMUSG00000037624.15	3	3	15	5	7	1
ENSMUSG00000037625.7	0	0	0	1	0	0
ENSMUSG00000037627.16	9	10	24	13	21	14
ENSMUSG00000037628.10	19	10	14	12	10	11
ENSMUSG00000037638.5	1	0	0	0	2	1
ENSMUSG00000037640.15	1825	1372	2795	1808	1956	2255
ENSMUSG00000037643.14	547	443	949	363	427	476
ENSMUSG00000037646.10	741	556	1034	748	745	762
ENSMUSG00000037649.9	0	1	2	1	0	0
ENSMUSG00000037652.15	542	390	723	591	622	749
ENSMUSG00000037653.7	4	0	4	0	0	0
ENSMUSG00000037656.9	135	64	147	107	103	104
ENSMUSG00000037660.5	0	0	0	0	0	1
ENSMUSG00000037661.14	8	5	18	12	11	25
ENSMUSG00000037664.13	78	101	132	81	79	113
ENSMUSG00000037669.15	49	26	55	41	42	33
ENSMUSG00000037674.15	760	548	1191	842	916	1018
ENSMUSG00000037679.9	28	23	37	45	28	33
ENSMUSG00000037681.13	65	45	101	49	52	28
ENSMUSG00000037683.14	0	0	0	1	1	0
ENSMUSG00000037685.15	676	497	894	615	645	661
ENSMUSG00000037686.6	43	33	69	48	43	45
ENSMUSG00000037689.6	0	0	0	0	0	1
ENSMUSG00000037692.14	2102	1279	2434	3110	2445	2445
ENSMUSG00000037697.19	2309	1824	3687	2538	2501	2677
ENSMUSG00000037703.14	10	6	19	14	9	11
ENSMUSG00000037705.13	0	0	0	0	1	0
ENSMUSG00000037706.17	21	5	13	17	13	17
ENSMUSG00000037708.16	6	3	4	4	4	2
ENSMUSG00000037709.13	110	39	92	43	72	53
ENSMUSG00000037710.8	502	388	643	559	470	563
ENSMUSG00000037712.16	2242	1580	3209	1949	2120	2018
ENSMUSG00000037716.15	7	5	14	18	8	16
ENSMUSG00000037720.16	175	110	211	192	228	227
ENSMUSG00000037722.8	662	504	971	650	681	766
ENSMUSG00000037725.8	1393	1197	2392	1358	1370	1455
ENSMUSG00000037727.6	0	0	0	0	0	0
ENSMUSG00000037730.13	585	480	888	689	738	728
ENSMUSG00000037731.5	2	5	9	15	8	3
ENSMUSG00000037735.7	16	15	24	12	14	12
ENSMUSG00000037736.18	35	37	86	30	18	25
ENSMUSG00000037737.6	0	0	1	0	0	0
ENSMUSG00000037738.11	34	42	88	19	25	28
ENSMUSG00000037740.8	83	41	85	96	92	92
ENSMUSG00000037742.14	4661	3247	5758	5863	5236	5245
ENSMUSG00000037747.9	236	148	268	236	260	282
ENSMUSG00000037750.16	975	715	1338	1002	1014	1147
ENSMUSG00000037752.4	16	28	42	42	33	41
ENSMUSG00000037754.13	44	6	16	41	36	33
ENSMUSG00000037759.6	0	0	0	1	0	0
ENSMUSG00000037761.16	43	17	42	45	42	30
ENSMUSG00000037762.6	22	22	38	20	15	15
ENSMUSG00000037771.11	0	0	0	0	0	0
ENSMUSG00000037772.13	42	27	70	49	37	29
ENSMUSG00000037773.14	13	2	14	18	9	18
ENSMUSG00000037780.3	0	0	0	0	0	0
ENSMUSG00000037784.14	13	7	11	2	9	8
ENSMUSG00000037787.14	23	14	47	23	24	26
ENSMUSG00000037788.14	3	1	3	2	4	2
ENSMUSG00000037790.3	0	4	0	0	0	0
ENSMUSG00000037791.15	2053	1740	3533	2297	2306	2550
ENSMUSG00000037795.14	3758	3346	6593	3677	3874	4205
ENSMUSG00000037797.14	3	1	0	0	0	0
ENSMUSG00000037798.7	367	226	484	507	464	431
ENSMUSG00000037801.13	7	2	4	3	5	6
ENSMUSG00000037805.15	181	113	210	154	135	168
ENSMUSG00000037808.13	331	231	463	329	418	430
ENSMUSG00000037813.13	2	19	44	7	6	8
ENSMUSG00000037815.6	1723	1414	3141	1419	1633	1657
ENSMUSG00000037816.10	81	72	120	87	87	72
ENSMUSG00000037818.16	91	58	140	41	44	53
ENSMUSG00000037820.15	2	1	2	1	0	3
ENSMUSG00000037822.12	985	735	1246	1092	1006	1115
ENSMUSG00000037824.6	1353	1066	1803	1279	1078	1101
ENSMUSG00000037826.5	34	20	69	53	52	60
ENSMUSG00000037827.5	0	0	0	1	0	0
ENSMUSG00000037833.14	154	136	243	145	186	188
ENSMUSG00000037843.6	4	2	0	9	3	13
ENSMUSG00000037845.14	0	1	1	0	6	2
ENSMUSG00000037846.18	144	120	205	230	188	202
ENSMUSG00000037847.13	4	4	7	5	6	2
ENSMUSG00000037849.8	0	0	0	1	0	0
ENSMUSG00000037851.13	2592	1836	3515	3249	2774	3101
ENSMUSG00000037852.8	42	17	29	28	54	35
ENSMUSG00000037855.15	1	0	5	2	1	2
ENSMUSG00000037857.16	2541	1758	3515	3002	3061	3864
ENSMUSG00000037860.15	0	10	24	0	0	0
ENSMUSG00000037868.15	2	1	2	4	2	1
ENSMUSG00000037872.5	0	0	0	0	0	0
ENSMUSG00000037876.17	458	350	749	323	335	404
ENSMUSG00000037884.6	0	0	0	0	0	0
ENSMUSG00000037885.18	4902	3803	6513	6111	5165	5408
ENSMUSG00000037887.11	4	1	2	1	2	2
ENSMUSG00000037890.13	194	184	335	212	224	257
ENSMUSG00000037892.13	5	0	3	3	2	2
ENSMUSG00000037894.13	116	64	101	132	141	129
ENSMUSG00000037896.17	637	513	1003	682	736	701
ENSMUSG00000037902.18	34	12	40	19	25	22
ENSMUSG00000037904.14	5	2	11	5	2	7
ENSMUSG00000037905.13	13	8	35	10	9	16
ENSMUSG00000037907.16	18	10	24	22	28	37
ENSMUSG00000037910.2	419	291	463	367	303	313
ENSMUSG00000037913.12	0	1	5	3	0	0
ENSMUSG00000037916.13	426	366	637	476	436	449
ENSMUSG00000037921.15	139	121	258	12	19	25
ENSMUSG00000037922.13	70	85	198	48	45	42
ENSMUSG00000037924.6	0	0	0	0	0	0
ENSMUSG00000037926.15	533	430	959	619	503	573
ENSMUSG00000037933.16	1164	994	2198	1116	1076	1098
ENSMUSG00000037935.16	847	829	1739	1007	1133	1149
ENSMUSG00000037936.15	236	172	270	281	251	290
ENSMUSG00000037938.4	15	6	10	17	9	17
ENSMUSG00000037940.17	0	0	1	0	1	2
ENSMUSG00000037942.5	1	0	0	1	0	0
ENSMUSG00000037944.8	0	0	0	0	0	0
ENSMUSG00000037946.11	119	56	111	32	147	93
ENSMUSG00000037949.8	403	330	577	429	365	399
ENSMUSG00000037953.7	19	17	36	21	26	26
ENSMUSG00000037957.14	4786	3959	7889	4833	4820	5643
ENSMUSG00000037958.13	1381	1391	3349	1442	1569	1757
ENSMUSG00000037960.11	18	8	31	13	13	17
ENSMUSG00000037962.7	47	23	45	61	58	45
ENSMUSG00000037965.14	33	15	42	20	41	37
ENSMUSG00000037966.15	1541	863	1199	1527	1441	1581
ENSMUSG00000037971.10	35	38	67	46	54	53
ENSMUSG00000037972.7	2	4	2	5	0	0
ENSMUSG00000037973.6	0	0	1	0	0	0
ENSMUSG00000037974.16	0	1	1	0	1	0
ENSMUSG00000037977.6	1	0	0	0	0	0
ENSMUSG00000037979.13	1592	1382	2451	1905	1678	1770
ENSMUSG00000037982.16	0	1	1	2	2	1
ENSMUSG00000037984.9	0	0	0	0	0	0
ENSMUSG00000037989.15	2614	2370	4535	3013	2614	2863
ENSMUSG00000037990.18	300	235	386	345	311	351
ENSMUSG00000037991.9	38	39	87	37	37	51
ENSMUSG00000037992.16	131	79	149	195	162	193
ENSMUSG00000037993.8	642	577	1235	653	627	558
ENSMUSG00000037994.14	1	4	1	1	2	1
ENSMUSG00000037995.15	1	0	1	3	1	0
ENSMUSG00000037996.17	90	117	153	139	142	163
ENSMUSG00000037997.12	75	71	135	65	70	73
ENSMUSG00000037999.13	2943	2215	4698	2758	3075	3411
ENSMUSG00000038000.10	904	764	1527	920	865	991
ENSMUSG00000038002.9	381	249	543	367	305	364
ENSMUSG00000038005.15	2935	2492	5047	2616	2794	3713
ENSMUSG00000038007.14	10	5	10	2	3	3
ENSMUSG00000038009.7	0	0	0	2	4	0
ENSMUSG00000038010.9	190	168	367	162	180	215
ENSMUSG00000038011.15	619	499	1003	530	501	442
ENSMUSG00000038013.14	198	126	256	196	155	163
ENSMUSG00000038014.7	418	284	569	323	323	371
ENSMUSG00000038015.6	29	45	78	37	35	53
ENSMUSG00000038020.5	483	395	719	666	589	614
ENSMUSG00000038022.11	109	71	113	124	113	126
ENSMUSG00000038023.12	1517	1274	2593	1454	1329	1482
ENSMUSG00000038024.17	2124	1776	3582	1873	1891	1964
ENSMUSG00000038025.8	262	215	481	324	259	265
ENSMUSG00000038026.12	0	0	0	2	0	0
ENSMUSG00000038028.9	477	381	812	594	454	506
ENSMUSG00000038034.15	107	92	187	155	117	127
ENSMUSG00000038037.5	67	35	70	103	63	69
ENSMUSG00000038039.13	1927	1588	3609	1570	1980	2249
ENSMUSG00000038042.10	251	180	369	296	281	334
ENSMUSG00000038044.8	0	0	0	0	0	0
ENSMUSG00000038045.14	0	0	0	0	0	0
ENSMUSG00000038046.4	5	2	9	8	17	7
ENSMUSG00000038047.18	843	620	1443	813	924	1096
ENSMUSG00000038048.8	17	17	24	9	7	10
ENSMUSG00000038055.12	14	4	16	20	18	19
ENSMUSG00000038056.15	11600	9544	19211	11100	11871	13375
ENSMUSG00000038057.4	3	3	7	0	2	4
ENSMUSG00000038058.14	4	3	0	4	2	2
ENSMUSG00000038059.6	2	2	2	0	3	7
ENSMUSG00000038060.15	62	55	110	60	53	37
ENSMUSG00000038064.7	0	0	0	0	0	0
ENSMUSG00000038065.13	7	1	1	1	3	6
ENSMUSG00000038067.2	0	0	0	0	0	0
ENSMUSG00000038068.15	12	10	16	7	7	3
ENSMUSG00000038069.6	574	418	852	525	547	576
ENSMUSG00000038070.15	592	506	1269	481	611	621
ENSMUSG00000038071.3	0	0	0	0	0	0
ENSMUSG00000038072.14	225	194	375	357	285	303
ENSMUSG00000038074.16	78	49	142	68	63	94
ENSMUSG00000038077.7	0	0	0	0	0	0
ENSMUSG00000038079.14	130	112	193	130	167	173
ENSMUSG00000038080.17	4544	3873	8767	3774	4016	4406
ENSMUSG00000038084.16	933	741	1492	897	904	988
ENSMUSG00000038085.13	37	231	366	25	40	35
ENSMUSG00000038086.4	0	0	0	0	0	0
ENSMUSG00000038092.6	0	0	0	0	0	0
ENSMUSG00000038094.15	4	3	8	0	0	1
ENSMUSG00000038095.15	622	511	1170	495	574	606
ENSMUSG00000038102.15	398	354	706	472	445	431
ENSMUSG00000038112.15	21	29	55	14	9	8
ENSMUSG00000038115.16	73	153	208	66	76	74
ENSMUSG00000038116.16	2948	3041	6148	3289	3368	3743
ENSMUSG00000038119.15	286	178	324	318	265	276
ENSMUSG00000038121.6	1017	735	1431	913	939	1008
ENSMUSG00000038122.9	198	148	273	230	250	285
ENSMUSG00000038126.17	637	467	802	627	612	569
ENSMUSG00000038127.14	953	804	1578	623	638	747
ENSMUSG00000038128.6	24	27	49	32	34	27
ENSMUSG00000038132.6	0	0	1	0	1	0
ENSMUSG00000038135.4	0	0	0	0	0	0
ENSMUSG00000038141.11	563	417	872	633	592	662
ENSMUSG00000038143.16	99	126	282	15	6	5
ENSMUSG00000038145.17	122	62	141	132	96	108
ENSMUSG00000038146.7	0	0	0	0	0	2
ENSMUSG00000038147.13	1	3	0	1	2	0
ENSMUSG00000038148.13	0	0	0	0	1	0
ENSMUSG00000038150.7	15	3	8	11	11	8
ENSMUSG00000038151.13	350	336	701	257	198	284
ENSMUSG00000038152.4	0	0	0	0	0	0
ENSMUSG00000038155.10	6	6	13	4	4	2
ENSMUSG00000038156.16	117	143	253	36	40	57
ENSMUSG00000038160.7	3051	2361	4670	3164	3267	3793
ENSMUSG00000038165.8	0	0	0	0	0	0
ENSMUSG00000038167.6	0	0	0	0	0	0
ENSMUSG00000038168.5	2	1	10	0	1	7
ENSMUSG00000038170.15	1037	889	1771	1332	1301	1320
ENSMUSG00000038172.14	209	190	358	170	154	203
ENSMUSG00000038173.15	0	0	1	0	0	0
ENSMUSG00000038174.14	1725	1212	2385	1693	1891	2045
ENSMUSG00000038175.10	64	64	134	104	87	108
ENSMUSG00000038178.16	7	9	19	16	13	15
ENSMUSG00000038179.13	7	0	6	4	3	6
ENSMUSG00000038180.11	1	0	0	0	0	0
ENSMUSG00000038181.16	1	0	6	0	4	2
ENSMUSG00000038187.14	1835	1717	3877	1846	2033	2368
ENSMUSG00000038188.17	0	0	0	1	0	0
ENSMUSG00000038192.5	0	0	0	0	2	0
ENSMUSG00000038193.4	0	0	1	0	0	1
ENSMUSG00000038195.6	14	13	19	29	35	31
ENSMUSG00000038199.12	6	2	4	5	1	5
ENSMUSG00000038201.10	3	0	1	0	0	2
ENSMUSG00000038203.18	8	7	11	4	3	3
ENSMUSG00000038204.13	0	0	0	1	0	0
ENSMUSG00000038205.12	143	129	207	161	160	202
ENSMUSG00000038206.13	1251	962	1727	1069	1198	1324
ENSMUSG00000038208.13	9	4	12	13	10	11
ENSMUSG00000038209.12	1	8	17	0	0	1
ENSMUSG00000038210.10	0	0	0	0	0	0
ENSMUSG00000038212.16	854	566	962	745	761	927
ENSMUSG00000038213.7	0	0	1	0	0	2
ENSMUSG00000038214.15	112	73	161	128	124	135
ENSMUSG00000038215.15	359	250	495	346	383	341
ENSMUSG00000038216.7	8	2	4	19	17	8
ENSMUSG00000038217.13	3	0	2	6	3	10
ENSMUSG00000038218.3	0	0	2	0	0	0
ENSMUSG00000038224.12	0	0	0	1	1	0
ENSMUSG00000038225.15	139	116	199	97	91	84
ENSMUSG00000038227.15	0	0	0	0	1	1
ENSMUSG00000038233.9	0	0	0	0	2	1
ENSMUSG00000038235.4	5	1	4	6	4	1
