	220823_01_WF_RNA_GV_totalRNA_WT_W5_rep1	220823_02_WF_RNA_GV_totalRNA_WT_W5_rep2	220823_03_WF_RNA_GV_totalRNA_WT_W5_rep3	220823_10_WF_RNA_GV_totalRNA_Mll34KO_W5_rep1	220823_11_WF_RNA_GV_totalRNA_Mll34KO_W5_rep2	220823_12_WF_RNA_GV_totalRNA_Mll34KO_W5_rep3
ENSMUSG00000029231.15	9	9	10	27	14	19
ENSMUSG00000029233.15	416	264	502	550	477	435
ENSMUSG00000029234.13	188	149	301	128	133	140
ENSMUSG00000029235.14	0	2	1	2	2	2
ENSMUSG00000029236.4	72	48	77	52	38	28
ENSMUSG00000029238.11	2093	1666	3089	2937	2532	2336
ENSMUSG00000029245.16	27	29	68	11	10	7
ENSMUSG00000029246.14	41	25	40	84	68	45
ENSMUSG00000029247.17	468	327	649	532	445	388
ENSMUSG00000029248.14	77	39	85	66	57	54
ENSMUSG00000029249.15	4864	4061	8411	5164	4110	3499
ENSMUSG00000029250.5	1605	1246	2488	1631	1386	1194
ENSMUSG00000029253.12	291	210	523	542	486	333
ENSMUSG00000029254.16	0	0	0	1	0	0
ENSMUSG00000029255.8	0	0	0	0	0	0
ENSMUSG00000029260.15	0	0	0	0	0	0
ENSMUSG00000029263.15	117	60	133	197	160	140
ENSMUSG00000029265.4	95	75	153	129	137	75
ENSMUSG00000029267.17	863	658	1305	1019	841	792
ENSMUSG00000029268.14	0	0	0	0	0	0
ENSMUSG00000029269.11	1	0	0	0	0	0
ENSMUSG00000029270.10	182	124	209	282	214	214
ENSMUSG00000029272.8	0	0	0	0	0	0
ENSMUSG00000029273.10	14	8	11	8	4	11
ENSMUSG00000029275.18	1	0	0	3	1	2
ENSMUSG00000029276.13	1250	1042	2085	1102	776	852
ENSMUSG00000029279.15	3259	2556	5048	4611	3943	3715
ENSMUSG00000029280.13	0	0	0	0	0	1
ENSMUSG00000029281.13	0	0	0	0	0	0
ENSMUSG00000029282.3	0	0	0	0	0	0
ENSMUSG00000029283.17	304	218	459	499	468	344
ENSMUSG00000029286.12	0	0	0	0	0	0
ENSMUSG00000029287.14	744	563	1080	801	735	722
ENSMUSG00000029288.11	0	0	0	1	0	0
ENSMUSG00000029290.12	73	52	101	85	41	46
ENSMUSG00000029291.11	19	16	29	41	32	31
ENSMUSG00000029298.15	1	1	8	2	0	1
ENSMUSG00000029299.14	9	7	10	4	1	2
ENSMUSG00000029304.14	0	0	0	1	0	0
ENSMUSG00000029306.8	2	0	3	0	0	0
ENSMUSG00000029307.7	9	15	28	6	1	2
ENSMUSG00000029309.7	13	1	0	0	0	2
ENSMUSG00000029310.13	244	206	464	392	375	246
ENSMUSG00000029311.16	4	0	2	7	2	6
ENSMUSG00000029312.12	5267	4013	8707	9565	8011	6397
ENSMUSG00000029313.18	2471	1935	3937	3690	3302	2529
ENSMUSG00000029314.14	11	8	47	399	324	183
ENSMUSG00000029319.8	81	46	106	85	84	76
ENSMUSG00000029320.11	26	20	24	26	20	23
ENSMUSG00000029321.1	196	199	344	83	93	69
ENSMUSG00000029322.12	773	530	886	892	813	886
ENSMUSG00000029326.13	117	84	198	201	157	112
ENSMUSG00000029328.15	991	879	2033	1328	1064	938
ENSMUSG00000029330.8	1721	1356	2524	2963	2515	2526
ENSMUSG00000029331.3	0	0	0	0	0	0
ENSMUSG00000029334.14	49	68	109	47	37	32
ENSMUSG00000029335.5	22	3	13	6	0	7
ENSMUSG00000029337.2	0	1	1	3	1	0
ENSMUSG00000029338.13	487	457	800	344	227	284
ENSMUSG00000029343.17	0	0	0	1	2	0
ENSMUSG00000029344.14	23	19	45	43	49	25
ENSMUSG00000029345.13	440	385	818	736	694	443
ENSMUSG00000029346.12	124	94	191	105	120	90
ENSMUSG00000029348.11	4	2	1	5	6	5
ENSMUSG00000029352.14	2	0	0	0	1	1
ENSMUSG00000029359.13	346	260	472	515	407	296
ENSMUSG00000029360.3	0	0	0	0	0	0
ENSMUSG00000029361.18	1550	1331	2413	2262	2184	1501
ENSMUSG00000029363.14	183	180	318	248	200	207
ENSMUSG00000029364.15	57	54	110	92	86	43
ENSMUSG00000029366.10	11	5	17	20	13	10
ENSMUSG00000029368.10	0	0	0	0	0	1
ENSMUSG00000029369.17	1	3	6	4	1	4
ENSMUSG00000029370.10	127	117	143	198	149	153
ENSMUSG00000029371.7	2	0	9	2	4	1
ENSMUSG00000029372.7	0	0	0	0	0	0
ENSMUSG00000029373.7	0	0	0	0	0	0
ENSMUSG00000029375.6	2	1	2	33	22	26
ENSMUSG00000029376.8	2	3	1	4	3	3
ENSMUSG00000029377.5	0	0	0	2	0	0
ENSMUSG00000029378.5	0	0	0	0	0	0
ENSMUSG00000029379.10	2	3	2	0	1	1
ENSMUSG00000029380.11	4	0	2	0	0	0
ENSMUSG00000029381.16	1159	1089	1957	2018	1713	1336
ENSMUSG00000029384.5	12	4	19	3	9	8
ENSMUSG00000029385.14	175	146	274	58	63	50
ENSMUSG00000029386.15	201	143	257	183	188	165
ENSMUSG00000029387.10	275	192	313	291	260	214
ENSMUSG00000029388.14	1485	964	1769	1379	1265	1148
ENSMUSG00000029389.17	204	171	382	287	259	223
ENSMUSG00000029390.13	542	389	1003	728	574	565
ENSMUSG00000029392.12	50	12	32	159	120	107
ENSMUSG00000029394.11	41	33	32	38	27	31
ENSMUSG00000029397.15	1120	915	1700	1547	1301	1320
ENSMUSG00000029401.8	5	2	8	9	3	9
ENSMUSG00000029402.8	3	6	9	8	4	4
ENSMUSG00000029403.14	248	207	440	350	297	234
ENSMUSG00000029404.15	73	61	141	39	40	24
ENSMUSG00000029405.16	10495	8828	18276	13091	10428	9074
ENSMUSG00000029406.15	305	231	372	379	380	360
ENSMUSG00000029407.10	3410	3008	6150	3478	2796	2545
ENSMUSG00000029408.13	492	370	679	537	542	442
ENSMUSG00000029409.7	0	0	0	0	0	0
ENSMUSG00000029410.11	18	28	43	50	40	35
ENSMUSG00000029413.14	73	61	106	75	44	45
ENSMUSG00000029414.11	1062	836	1502	967	907	729
ENSMUSG00000029415.4	224	176	411	404	327	267
ENSMUSG00000029416.17	891	549	1000	1306	1198	1186
ENSMUSG00000029417.9	0	0	0	0	0	0
ENSMUSG00000029419.8	1	0	1	0	2	1
ENSMUSG00000029420.12	171	128	253	384	277	258
ENSMUSG00000029422.15	782	675	1626	852	699	641
ENSMUSG00000029423.10	512	355	663	951	704	680
ENSMUSG00000029426.8	40	49	85	27	25	28
ENSMUSG00000029427.11	3149	2875	5968	3800	2917	2782
ENSMUSG00000029428.13	487	439	933	468	395	307
ENSMUSG00000029430.13	479	403	748	540	427	321
ENSMUSG00000029431.5	53	29	54	39	49	44
ENSMUSG00000029432.12	871	600	1053	872	738	671
ENSMUSG00000029433.16	67	39	84	43	42	46
ENSMUSG00000029434.12	68	51	113	44	52	40
ENSMUSG00000029436.9	14	7	21	24	14	14
ENSMUSG00000029437.12	0	0	2	0	0	0
ENSMUSG00000029438.9	53	39	69	136	110	55
ENSMUSG00000029439.14	480	398	944	644	557	427
ENSMUSG00000029440.15	563	424	784	842	734	616
ENSMUSG00000029442.18	6	0	6	6	3	10
ENSMUSG00000029445.13	13	6	11	3	2	0
ENSMUSG00000029446.14	22	13	26	20	21	17
ENSMUSG00000029447.11	127	69	184	208	175	131
ENSMUSG00000029449.11	51	48	97	238	259	238
ENSMUSG00000029451.14	4341	4718	7909	4598	3554	3609
ENSMUSG00000029452.18	71	47	60	44	39	45
ENSMUSG00000029454.15	11	4	4	5	4	5
ENSMUSG00000029455.14	849	628	1010	935	874	674
ENSMUSG00000029456.12	11	6	22	12	9	7
ENSMUSG00000029458.14	1722	1642	3511	2051	1869	1557
ENSMUSG00000029461.17	1084	850	1657	1234	1091	990
ENSMUSG00000029462.18	153	146	219	238	161	187
ENSMUSG00000029463.5	132	118	226	166	168	122
ENSMUSG00000029464.10	25	24	54	64	77	63
ENSMUSG00000029465.14	1310	908	1740	911	754	711
ENSMUSG00000029466.11	472	443	904	898	750	675
ENSMUSG00000029467.15	6785	5456	11248	9409	7909	7113
ENSMUSG00000029468.17	1	0	1	3	2	0
ENSMUSG00000029469.14	433	375	812	456	351	295
ENSMUSG00000029470.15	44	38	51	60	40	51
ENSMUSG00000029471.13	36	19	33	59	48	50
ENSMUSG00000029472.13	1589	1293	2602	2071	1728	1427
ENSMUSG00000029474.7	1596	1166	2083	2072	1798	1756
ENSMUSG00000029475.17	4970	4719	10322	6796	5805	4774
ENSMUSG00000029477.14	5	3	4	6	1	1
ENSMUSG00000029478.16	217	185	394	278	211	179
ENSMUSG00000029480.13	54	79	108	106	91	80
ENSMUSG00000029482.4	18	27	57	45	49	28
ENSMUSG00000029484.12	1	0	3	2	0	4
ENSMUSG00000029486.13	315	239	475	419	331	297
ENSMUSG00000029490.3	1	0	1	0	0	0
ENSMUSG00000029491.7	503	325	667	831	611	683
ENSMUSG00000029499.11	37	43	83	48	31	32
ENSMUSG00000029500.16	256	195	314	288	281	261
ENSMUSG00000029501.14	2020	1526	2877	2416	2045	1741
ENSMUSG00000029502.14	1477	1504	3143	2179	1814	1483
ENSMUSG00000029503.16	0	1	0	0	1	1
ENSMUSG00000029504.5	255	171	342	346	310	225
ENSMUSG00000029505.17	7627	6280	12507	9337	8101	6593
ENSMUSG00000029507.16	18	27	49	88	35	38
ENSMUSG00000029510.15	1	1	1	0	1	0
ENSMUSG00000029512.11	418	281	486	570	584	450
ENSMUSG00000029513.14	758	734	1256	1200	1151	923
ENSMUSG00000029516.19	3984	3526	7133	2832	2535	1752
ENSMUSG00000029517.13	0	0	0	0	0	0
ENSMUSG00000029518.15	520	339	734	851	778	536
ENSMUSG00000029521.7	24	28	49	31	37	30
ENSMUSG00000029522.12	0	0	2	0	0	0
ENSMUSG00000029524.16	61	38	52	104	59	70
ENSMUSG00000029526.5	0	0	0	0	0	0
ENSMUSG00000029528.18	368	251	405	370	296	275
ENSMUSG00000029530.16	2	2	2	6	1	1
ENSMUSG00000029534.17	144	124	211	180	152	105
ENSMUSG00000029535.4	140	109	160	248	220	136
ENSMUSG00000029536.8	38	16	42	38	30	25
ENSMUSG00000029538.14	117	85	205	175	151	89
ENSMUSG00000029541.12	0	0	0	0	0	0
ENSMUSG00000029544.16	109	76	155	190	147	154
ENSMUSG00000029545.13	15	8	20	28	14	16
ENSMUSG00000029546.12	0	2	2	2	1	1
ENSMUSG00000029547.10	537	440	847	605	565	398
ENSMUSG00000029550.11	42	11	58	36	35	35
ENSMUSG00000029551.13	58	19	47	99	84	44
ENSMUSG00000029552.19	49	36	72	60	42	28
ENSMUSG00000029553.10	2	6	11	23	16	20
ENSMUSG00000029554.15	664	689	1570	878	702	542
ENSMUSG00000029556.12	0	2	2	0	0	0
ENSMUSG00000029557.7	5	0	4	10	11	6
ENSMUSG00000029559.15	23	13	30	41	29	18
ENSMUSG00000029560.12	189	121	238	107	91	68
ENSMUSG00000029561.17	1	0	2	2	1	3
ENSMUSG00000029563.16	140	62	174	500	464	396
ENSMUSG00000029564.12	2	0	0	4	3	1
ENSMUSG00000029569.9	904	617	1142	1027	1045	913
ENSMUSG00000029570.5	0	0	0	1	0	0
ENSMUSG00000029571.14	45	22	50	84	89	70
ENSMUSG00000029575.17	154	114	198	168	147	100
ENSMUSG00000029576.17	0	0	0	1	2	1
ENSMUSG00000029577.13	327	271	548	554	476	396
ENSMUSG00000029578.15	260	195	389	376	385	296
ENSMUSG00000029580.14	751	527	935	692	537	524
ENSMUSG00000029581.14	64	40	66	171	120	90
ENSMUSG00000029586.9	2	1	0	2	2	4
ENSMUSG00000029587.16	41	27	57	85	74	45
ENSMUSG00000029591.14	462	341	643	522	429	376
ENSMUSG00000029592.11	2419	1985	3731	3254	2789	2492
ENSMUSG00000029594.12	343	257	529	344	272	210
ENSMUSG00000029595.9	17	9	34	17	22	22
ENSMUSG00000029596.13	4	0	2	0	1	2
ENSMUSG00000029597.14	3	2	3	0	1	2
ENSMUSG00000029598.12	127	95	156	175	124	142
ENSMUSG00000029599.13	72	49	133	128	125	69
ENSMUSG00000029600.10	63	43	94	101	70	71
ENSMUSG00000029601.13	4	6	17	8	8	7
ENSMUSG00000029602.11	24	23	34	22	33	22
ENSMUSG00000029603.15	2	1	0	0	0	0
ENSMUSG00000029605.16	68	61	72	14	24	29
ENSMUSG00000029607.14	0	1	0	2	1	0
ENSMUSG00000029608.10	1247	1123	2172	1387	1160	1021
ENSMUSG00000029610.13	121	78	127	149	150	121
ENSMUSG00000029613.15	1943	1600	3404	2448	2099	1840
ENSMUSG00000029614.13	514	450	938	707	607	545
ENSMUSG00000029616.9	425	312	680	471	419	343
ENSMUSG00000029617.10	662	560	1070	730	606	574
ENSMUSG00000029618.13	13	10	17	25	22	22
ENSMUSG00000029620.4	0	0	0	0	0	0
ENSMUSG00000029621.14	104	73	137	99	81	63
ENSMUSG00000029622.16	514	379	731	416	345	271
ENSMUSG00000029623.14	489	483	1026	730	590	464
ENSMUSG00000029624.10	203	185	363	221	211	150
ENSMUSG00000029625.16	256	223	417	344	264	254
ENSMUSG00000029627.12	643	510	947	829	729	566
ENSMUSG00000029629.17	2199	1930	4077	2469	2025	1725
ENSMUSG00000029630.15	0	0	0	1	0	0
ENSMUSG00000029632.7	134	102	117	135	99	110
ENSMUSG00000029633.9	13	14	16	15	10	10
ENSMUSG00000029634.15	467	324	801	1185	934	723
ENSMUSG00000029635.15	934	792	1563	1569	1259	1182
ENSMUSG00000029636.10	439	314	655	579	482	438
ENSMUSG00000029638.17	41	22	32	51	33	32
ENSMUSG00000029640.17	249	179	345	212	211	120
ENSMUSG00000029641.8	1	0	3	2	0	0
ENSMUSG00000029642.11	625	454	862	819	663	543
ENSMUSG00000029644.7	229	168	392	389	312	261
ENSMUSG00000029646.3	1	0	0	3	1	1
ENSMUSG00000029647.15	3548	2406	5009	5482	4601	4047
ENSMUSG00000029648.13	183	183	363	135	42	41
ENSMUSG00000029649.10	171	136	373	178	162	158
ENSMUSG00000029650.10	0	2	0	3	5	4
ENSMUSG00000029651.16	1140	822	1570	808	722	556
ENSMUSG00000029655.17	1101	919	1714	1371	1111	1045
ENSMUSG00000029656.13	252	135	232	268	201	184
ENSMUSG00000029657.15	3304	2659	6219	4474	4195	2863
ENSMUSG00000029658.17	3	2	2	25	11	6
ENSMUSG00000029659.16	4	0	3	9	7	6
ENSMUSG00000029660.10	343	240	445	196	154	175
ENSMUSG00000029661.16	6	3	2	1	3	2
ENSMUSG00000029663.10	0	0	0	0	0	0
ENSMUSG00000029664.10	0	1	0	0	0	0
ENSMUSG00000029669.14	57	74	101	29	27	15
ENSMUSG00000029670.12	504	411	802	516	465	453
ENSMUSG00000029671.15	0	0	0	0	0	1
ENSMUSG00000029672.16	623	633	1440	977	812	658
ENSMUSG00000029673.17	2197	1707	3436	3568	2677	2567
ENSMUSG00000029674.13	323	286	594	534	481	389
ENSMUSG00000029675.12	9	5	8	5	7	6
ENSMUSG00000029676.15	279	193	367	363	313	240
ENSMUSG00000029678.8	16	7	11	3	0	6
ENSMUSG00000029679.7	3	0	6	0	0	1
ENSMUSG00000029680.2	0	0	0	0	0	0
ENSMUSG00000029681.12	264	270	595	502	412	359
ENSMUSG00000029682.5	217	166	374	43	48	34
ENSMUSG00000029683.7	0	0	0	0	1	0
ENSMUSG00000029684.14	2753	2308	4717	2571	2023	1924
ENSMUSG00000029685.15	25	27	68	19	12	23
ENSMUSG00000029686.15	9031	6758	13588	10696	9056	8173
ENSMUSG00000029687.16	3554	3019	6531	5230	4357	3709
ENSMUSG00000029695.13	1818	1315	2668	3359	2723	2305
ENSMUSG00000029697.6	3	2	9	10	2	2
ENSMUSG00000029699.13	238	167	259	280	271	169
ENSMUSG00000029700.11	5	1	4	8	6	10
ENSMUSG00000029701.15	640	601	1317	1039	901	634
ENSMUSG00000029703.10	166	119	243	185	196	152
ENSMUSG00000029705.17	857	659	1280	215	165	129
ENSMUSG00000029706.15	4	0	0	0	0	0
ENSMUSG00000029707.6	0	0	0	0	0	0
ENSMUSG00000029708.9	114	85	213	226	224	131
ENSMUSG00000029710.15	491	441	821	270	274	186
ENSMUSG00000029711.13	0	0	0	0	0	0
ENSMUSG00000029712.14	0	0	0	0	0	1
ENSMUSG00000029713.15	108	70	105	135	97	77
ENSMUSG00000029714.11	85	80	175	241	288	129
ENSMUSG00000029715.5	147	85	149	136	119	93
ENSMUSG00000029716.13	0	0	0	1	3	5
ENSMUSG00000029718.14	4	0	1	1	3	2
ENSMUSG00000029720.9	0	0	0	0	1	1
ENSMUSG00000029722.15	100	56	118	116	98	102
ENSMUSG00000029723.16	977	843	1788	1710	1544	1308
ENSMUSG00000029725.10	101	57	121	116	101	109
ENSMUSG00000029726.16	627	436	803	1030	1016	749
ENSMUSG00000029727.7	0	0	0	0	0	0
ENSMUSG00000029729.12	823	610	1244	1820	1638	1238
ENSMUSG00000029730.16	584	614	1109	847	680	568
ENSMUSG00000029735.17	39	32	59	101	79	67
ENSMUSG00000029736.15	4024	3228	6773	4539	4250	3416
ENSMUSG00000029752.12	17	7	22	13	11	8
ENSMUSG00000029754.13	0	0	2	0	0	1
ENSMUSG00000029755.10	0	0	0	4	1	0
ENSMUSG00000029757.16	47	35	52	87	77	86
ENSMUSG00000029759.9	20	18	33	35	27	19
ENSMUSG00000029761.16	12	3	6	8	6	8
ENSMUSG00000029762.6	116	179	297	321	237	250
ENSMUSG00000029763.17	617	524	1039	757	619	615
ENSMUSG00000029765.12	1602	1104	2194	2208	1797	1710
ENSMUSG00000029766.7	6	5	14	14	12	8
ENSMUSG00000029767.16	1634	1593	3334	2881	2566	2117
ENSMUSG00000029769.16	415	426	1005	415	366	268
ENSMUSG00000029771.12	0	0	0	1	0	0
ENSMUSG00000029772.17	362	253	612	341	319	268
ENSMUSG00000029775.14	338	247	463	442	404	257
ENSMUSG00000029776.11	225	127	306	283	235	189
ENSMUSG00000029777.10	833	785	1499	1179	1036	959
ENSMUSG00000029778.12	72	66	122	5	15	9
ENSMUSG00000029780.14	36	49	79	43	35	29
ENSMUSG00000029781.7	55	27	89	40	36	33
ENSMUSG00000029782.19	1370	863	1690	1352	1247	1118
ENSMUSG00000029784.13	3	1	6	7	8	5
ENSMUSG00000029787.10	526	431	679	739	588	533
ENSMUSG00000029788.13	1	2	2	1	0	0
ENSMUSG00000029790.16	763	540	1100	655	568	463
ENSMUSG00000029797.13	2	0	0	2	0	1
ENSMUSG00000029798.11	1	0	2	2	1	0
ENSMUSG00000029802.13	6	1	6	10	11	6
ENSMUSG00000029804.17	505	357	653	535	421	387
ENSMUSG00000029810.15	35	13	20	21	12	17
ENSMUSG00000029811.14	2	0	2	1	3	1
ENSMUSG00000029813.8	0	0	0	0	0	0
ENSMUSG00000029814.10	1150	936	1986	1034	917	624
ENSMUSG00000029815.12	124	76	110	110	77	67
ENSMUSG00000029816.10	102	70	112	66	76	56
ENSMUSG00000029817.11	180	118	236	244	185	132
ENSMUSG00000029819.6	0	0	0	0	0	0
ENSMUSG00000029821.15	51	47	70	24	14	17
ENSMUSG00000029822.15	12	15	29	9	9	3
ENSMUSG00000029823.16	845	668	1522	868	637	630
ENSMUSG00000029826.14	52	60	97	14	9	12
ENSMUSG00000029828.4	6	5	9	2	3	1
ENSMUSG00000029829.4	0	0	0	6	4	2
ENSMUSG00000029830.15	275	215	409	138	84	90
ENSMUSG00000029831.7	0	0	0	0	0	0
ENSMUSG00000029832.16	19	15	13	20	21	22
ENSMUSG00000029833.17	3557	3062	6102	4132	3460	3137
ENSMUSG00000029836.15	43	33	50	56	47	44
ENSMUSG00000029837.2	0	0	0	0	0	0
ENSMUSG00000029838.11	1	0	8	2	5	2
ENSMUSG00000029840.8	520	385	684	575	521	496
ENSMUSG00000029843.4	0	0	0	0	0	0
ENSMUSG00000029844.9	1	4	9	1	0	0
ENSMUSG00000029847.13	0	2	1	0	3	0
ENSMUSG00000029848.11	0	0	0	0	0	0
ENSMUSG00000029851.5	2	1	0	9	9	9
ENSMUSG00000029859.6	28	14	44	66	81	51
ENSMUSG00000029860.16	46	31	68	35	26	42
ENSMUSG00000029861.17	0	0	0	0	0	0
ENSMUSG00000029862.15	0	0	1	3	2	0
ENSMUSG00000029863.13	245	158	273	254	245	222
ENSMUSG00000029864.7	43	18	29	24	27	30
ENSMUSG00000029865.4	0	0	0	0	0	0
ENSMUSG00000029866.13	0	0	0	0	0	0
ENSMUSG00000029867.5	0	0	0	0	0	0
ENSMUSG00000029868.13	0	0	0	0	3	0
ENSMUSG00000029869.7	468	421	720	413	363	363
ENSMUSG00000029875.5	0	0	0	0	0	0
ENSMUSG00000029878.6	5	3	5	0	1	0
ENSMUSG00000029882.5	0	0	0	3	0	0
ENSMUSG00000029883.12	1	0	0	0	0	0
ENSMUSG00000029885.3	0	0	0	0	0	0
ENSMUSG00000029909.6	13	9	28	1	0	2
ENSMUSG00000029910.14	1119	868	1501	1427	1220	1110
ENSMUSG00000029911.14	148	104	241	188	177	171
ENSMUSG00000029913.14	8	4	1	6	9	11
ENSMUSG00000029915.14	0	0	0	0	0	0
ENSMUSG00000029916.11	272	209	406	268	206	203
ENSMUSG00000029917.15	369	337	562	128	97	123
ENSMUSG00000029918.9	460	394	880	727	567	520
ENSMUSG00000029919.5	0	0	0	0	0	0
ENSMUSG00000029920.9	912	689	1360	1101	929	850
ENSMUSG00000029922.15	310	231	561	603	538	374
ENSMUSG00000029923.4	0	0	0	1	0	0
ENSMUSG00000029924.12	367	285	585	256	216	192
ENSMUSG00000029925.13	0	0	0	0	0	0
ENSMUSG00000029992.14	281	225	496	458	349	309
ENSMUSG00000029993.16	514	429	760	533	449	386
ENSMUSG00000029994.17	21	27	34	13	5	9
ENSMUSG00000029998.14	862	579	1089	811	714	564
ENSMUSG00000029999.14	41	23	47	59	52	46
ENSMUSG00000030000.10	432	331	722	374	417	280
ENSMUSG00000030001.4	200	150	282	144	96	100
ENSMUSG00000030002.15	63	51	96	65	49	47
ENSMUSG00000030004.6	0	0	0	0	0	0
ENSMUSG00000030007.8	414	368	770	691	572	460
ENSMUSG00000030008.9	200	142	217	254	190	209
ENSMUSG00000030016.14	2585	2095	4424	2876	2391	2148
ENSMUSG00000030017.2	10	5	5	6	1	1
ENSMUSG00000030019.6	733	506	956	1163	1118	942
ENSMUSG00000030020.13	330	251	582	497	509	377
ENSMUSG00000030022.14	25	7	35	13	7	5
ENSMUSG00000030029.14	1484	1266	2359	789	700	541
ENSMUSG00000030030.5	0	0	0	0	0	0
ENSMUSG00000030031.14	13447	9060	16487	19033	15693	15278
ENSMUSG00000030032.12	2	1	0	1	1	0
ENSMUSG00000030034.11	212	222	413	309	240	183
ENSMUSG00000030035.14	12	7	19	12	7	7
ENSMUSG00000030036.8	30	14	23	29	31	26
ENSMUSG00000030037.9	0	0	0	0	0	0
ENSMUSG00000030041.9	5	3	6	15	8	6
ENSMUSG00000030042.15	1269	973	1772	1734	1295	1235
ENSMUSG00000030043.11	0	0	0	0	1	0
ENSMUSG00000030045.10	31	22	35	47	36	51
ENSMUSG00000030046.6	0	0	0	0	0	0
ENSMUSG00000030047.14	1	0	0	1	0	0
ENSMUSG00000030048.5	0	0	0	0	0	0
ENSMUSG00000030049.5	0	0	0	0	0	0
ENSMUSG00000030050.4	0	0	0	0	0	0
ENSMUSG00000030051.10	465	459	931	799	693	570
ENSMUSG00000030054.4	0	0	0	0	0	0
ENSMUSG00000030055.16	2	0	4	4	1	7
ENSMUSG00000030056.8	90	61	97	89	85	108
ENSMUSG00000030057.15	2768	1918	4595	3763	3287	2954
ENSMUSG00000030058.17	629	558	1026	767	649	495
ENSMUSG00000030059.15	1476	1281	2807	1692	1418	1309
ENSMUSG00000030060.14	2415	1990	3784	4672	4039	3161
ENSMUSG00000030061.16	838	549	1116	826	716	613
ENSMUSG00000030062.7	757	584	1226	838	681	632
ENSMUSG00000030064.16	1	0	0	0	0	0
ENSMUSG00000030067.17	66	74	91	33	43	38
ENSMUSG00000030068.4	0	0	0	2	1	0
ENSMUSG00000030069.15	2	3	6	20	16	26
ENSMUSG00000030074.9	5	1	15	10	4	1
ENSMUSG00000030075.10	13	21	51	10	3	6
ENSMUSG00000030077.11	0	1	1	11	6	4
ENSMUSG00000030079.15	82	66	156	134	146	106
ENSMUSG00000030082.14	850	582	935	1093	947	843
ENSMUSG00000030083.11	120	105	182	122	139	131
ENSMUSG00000030084.11	3071	2073	4168	3050	3010	2152
ENSMUSG00000030086.16	137	100	198	221	223	134
ENSMUSG00000030087.11	1	0	0	0	4	0
ENSMUSG00000030088.15	93	76	193	139	97	104
ENSMUSG00000030089.15	8	7	10	14	8	8
ENSMUSG00000030091.17	87	51	95	106	106	97
ENSMUSG00000030092.14	173	184	409	218	141	191
ENSMUSG00000030093.7	62	47	89	92	89	68
ENSMUSG00000030094.8	510	454	998	582	535	309
ENSMUSG00000030095.10	103	56	124	143	130	102
ENSMUSG00000030096.8	1040	785	1556	933	761	708
ENSMUSG00000030098.15	0	2	1	2	1	2
ENSMUSG00000030101.15	266	254	497	430	306	308
ENSMUSG00000030102.11	3220	2554	5104	4948	3859	3308
ENSMUSG00000030103.11	648	413	760	1616	1400	1136
ENSMUSG00000030104.9	662	477	1075	790	678	556
ENSMUSG00000030105.8	1311	1048	1912	1436	1350	1162
ENSMUSG00000030107.10	1	0	0	0	0	0
ENSMUSG00000030108.14	0	3	2	2	2	1
ENSMUSG00000030109.15	7	0	9	32	33	29
ENSMUSG00000030110.13	0	1	0	2	1	0
ENSMUSG00000030111.9	0	0	0	0	0	0
ENSMUSG00000030114.8	1	0	0	0	0	1
ENSMUSG00000030116.14	1	1	1	0	1	3
ENSMUSG00000030117.5	0	0	0	0	0	0
ENSMUSG00000030120.14	1172	908	1843	1475	1326	1071
ENSMUSG00000030122.12	64	40	125	133	114	100
ENSMUSG00000030123.15	81	52	163	522	477	403
ENSMUSG00000030124.2	0	0	0	0	0	0
ENSMUSG00000030125.11	0	0	0	0	2	0
ENSMUSG00000030126.17	926	724	1550	1290	1091	877
ENSMUSG00000030127.15	448	396	728	438	440	298
ENSMUSG00000030131.8	1	3	1	27	15	20
ENSMUSG00000030134.11	0	0	0	0	0	0
ENSMUSG00000030137.8	1	1	2	0	0	2
ENSMUSG00000030138.8	8600	8410	17299	12668	10953	8948
ENSMUSG00000030142.10	0	0	0	0	0	0
ENSMUSG00000030143.7	0	0	0	0	0	0
ENSMUSG00000030144.4	0	0	0	0	0	0
ENSMUSG00000030145.14	97	79	151	83	83	55
ENSMUSG00000030147.12	0	0	0	1	0	0
ENSMUSG00000030148.15	0	0	0	0	3	1
ENSMUSG00000030149.15	0	0	0	1	0	0
ENSMUSG00000030154.10	13	3	12	8	7	5
ENSMUSG00000030155.7	1	3	4	0	0	1
ENSMUSG00000030156.5	99	60	130	58	64	59
ENSMUSG00000030157.5	4	3	0	0	3	0
ENSMUSG00000030158.12	0	0	0	0	0	0
ENSMUSG00000030159.15	0	0	1	0	0	0
ENSMUSG00000030160.7	6	7	15	4	2	4
ENSMUSG00000030161.8	5	7	3	58	52	39
ENSMUSG00000030162.14	0	0	0	7	11	3
ENSMUSG00000030165.16	0	0	0	0	0	0
ENSMUSG00000030166.14	145	112	229	195	168	184
ENSMUSG00000030167.15	0	0	0	0	0	0
ENSMUSG00000030168.13	426	296	612	445	406	311
ENSMUSG00000030170.14	7	1	2	4	1	4
ENSMUSG00000030172.15	333	242	582	272	211	227
ENSMUSG00000030173.15	0	0	0	0	0	0
ENSMUSG00000030177.14	76	70	151	188	133	113
ENSMUSG00000030178.15	0	0	0	0	1	0
ENSMUSG00000030180.15	166	132	230	257	213	217
ENSMUSG00000030187.15	0	0	0	0	0	0
ENSMUSG00000030188.12	148	113	235	132	115	101
